target name,length,GC,probe count,mean depth,proportion covered,coverage std dev
XM_009294540.3,1506,0.435,47,2.406,0.985,0.857
NM_200461.1,1335,0.449,41,2.372,0.989,0.836
XM_005164753.4,1413,0.563,31,1.748,0.936,0.778
NM_001161333.1,1413,0.563,31,1.748,0.936,0.778
XM_005163022.4,1881,0.494,47,1.994,0.968,0.686
NM_131577.1,1881,0.493,47,1.997,0.97,0.68
NM_001198772.1,2712,0.455,63,1.858,0.987,0.654
NM_001114705.2,615,0.506,12,1.561,0.898,0.771
XM_021467990.1,1248,0.492,35,2.187,0.984,0.803
XM_021467989.1,1248,0.492,35,2.187,0.984,0.803
XM_021467987.1,1248,0.492,35,2.187,0.984,0.803
XM_021467988.1,1248,0.492,35,2.187,0.984,0.803
XM_021467986.1,1248,0.492,35,2.187,0.984,0.803
XM_021467985.1,1248,0.492,35,2.187,0.984,0.803
XM_005159502.4,1440,0.504,37,2.024,0.983,0.722
XM_021467984.1,1527,0.5,40,2.065,0.984,0.793
XM_009294157.3,723,0.495,21,2.263,0.983,0.828
NM_131340.1,1161,0.497,32,2.146,0.983,0.724
XM_005159501.4,1467,0.506,39,2.07,0.984,0.776
XM_005159505.4,807,0.501,19,1.846,0.967,0.759
XM_021467991.1,846,0.496,20,1.862,0.974,0.786
XM_005160431.4,1506,0.576,38,2.019,0.978,0.744
NM_200879.1,1497,0.576,39,2.053,0.977,0.748
XM_002666958.6,1857,0.526,45,1.921,0.987,0.71
XM_021468785.1,747,0.49,18,1.928,0.96,0.762
NM_201138.2,870,0.487,21,1.911,0.966,0.71
NM_001177334.1,1584,0.455,37,1.85,0.968,0.809
XM_021473067.1,957,0.537,19,1.586,0.893,0.907
XM_021473074.1,957,0.537,19,1.586,0.893,0.907
XM_002661099.5,957,0.537,19,1.584,0.892,0.909
XM_005168472.4,957,0.537,19,1.584,0.892,0.909
XM_021471363.1,957,0.537,19,1.584,0.892,0.909
NM_001024393.1,600,0.49,12,1.6,0.953,0.663
NM_001177333.2,1602,0.486,46,2.219,0.978,0.836
NM_001083547.1,2376,0.479,54,1.818,0.951,0.721
XM_021476296.1,1083,0.467,25,1.847,0.975,0.662
NM_001100040.1,1083,0.467,25,1.847,0.975,0.662
XM_017351762.2,2940,0.555,75,2.041,0.988,0.601
XM_009292848.3,2937,0.556,75,2.043,0.986,0.605
XM_017351763.2,2835,0.553,73,2.051,0.987,0.618
XM_017351764.2,2736,0.55,69,2.018,0.987,0.602
NM_001329759.1,576,0.436,13,1.806,0.944,0.71
XM_021469174.1,528,0.5,13,1.894,0.892,1.052
NM_001130667.1,528,0.5,13,1.894,0.892,1.052
NM_001172634.2,234,0.466,5,1.709,0.838,1.038
NM_200490.1,1551,0.502,39,1.983,0.985,0.693
NM_001002322.1,2328,0.46,56,1.924,0.969,0.702
NM_201496.1,1035,0.471,21,1.623,0.938,0.696
XM_009296426.3,933,0.503,22,1.882,0.996,0.673
XM_021469274.1,477,0.507,11,1.841,0.992,0.685
NM_001103139.1,933,0.504,22,1.881,0.995,0.676
NM_131867.1,1470,0.447,34,1.82,0.917,0.901
XM_009294223.3,1977,0.513,41,1.637,0.934,0.696
NM_001042772.1,1842,0.515,41,1.75,0.951,0.668
NM_201511.1,1494,0.429,47,2.378,0.993,1.036
XM_009299950.3,1017,0.445,32,2.343,0.99,0.947
XM_005160559.4,849,0.464,25,2.198,0.956,1.066
NM_001256177.1,1476,0.432,42,2.163,0.955,1.039
NM_001020470.2,1605,0.492,39,1.918,0.941,0.891
NM_201173.2,1539,0.472,37,1.923,0.954,0.74
XM_005162369.4,1401,0.475,39,2.218,0.971,0.792
XM_009297037.3,1401,0.475,39,2.218,0.971,0.792
NM_175043.2,1260,0.472,36,2.273,0.965,0.805
NM_001319834.1,483,0.516,10,1.64,0.936,0.724
NM_001030271.2,651,0.496,14,1.716,0.929,0.776
NM_001002481.2,663,0.492,14,1.689,0.917,0.796
NM_001004562.1,534,0.517,11,1.648,0.899,0.946
XM_677841.6,2394,0.558,65,2.172,0.988,0.69
XM_005160548.4,2472,0.557,67,2.168,0.991,0.675
XM_021468625.1,2394,0.558,65,2.172,0.988,0.69
XM_009294687.3,2394,0.558,65,2.172,0.988,0.69
NM_001045264.1,1818,0.5,43,1.892,0.971,0.765
XM_005170846.4,1596,0.432,53,2.544,0.991,1.045
NM_001177493.1,1596,0.439,49,2.375,0.992,0.921
NM_001361510.1,1596,0.432,53,2.544,0.991,1.045
NM_153657.1,1806,0.477,43,1.905,0.972,0.692
NM_001013471.2,600,0.48,16,2.133,0.973,0.772
NM_200023.1,327,0.486,7,1.713,0.93,0.702
NM_001045306.1,735,0.556,17,1.85,0.931,0.863
XM_001337307.6,1671,0.443,46,2.175,0.989,0.832
XM_021473119.1,1671,0.445,46,2.178,0.99,0.828
NM_001017545.3,1326,0.502,30,1.81,0.968,0.69
NM_131157.1,507,0.469,12,1.893,0.984,0.691
XM_689112.7,1125,0.484,27,1.917,0.971,0.705
XM_021472158.1,936,0.496,25,2.098,0.981,0.739
NM_001386297.1,1125,0.484,27,1.917,0.971,0.705
NM_001199903.1,882,0.441,21,1.905,0.966,0.667
NM_001177497.1,1578,0.42,40,1.992,0.992,0.813
XM_001333968.7,1569,0.464,49,2.418,0.976,0.835
NM_201326.2,2049,0.473,49,1.913,0.988,0.626
NM_001302254.1,1824,0.493,45,1.974,0.989,0.691
NM_001177446.1,1587,0.497,36,1.793,0.927,0.859
XM_021475008.1,3009,0.454,76,1.995,0.982,0.722
NM_001098763.1,2985,0.454,77,2.05,0.986,0.717
NM_001037438.1,1554,0.533,37,1.905,0.981,0.626
NM_001033920.1,1722,0.491,39,1.812,0.961,0.706
NM_130931.2,1335,0.49,30,1.798,0.905,0.829
XM_005159412.3,1350,0.559,38,2.179,0.976,0.775
XM_005159411.3,1392,0.56,39,2.196,0.977,0.759
XM_005159410.3,1416,0.558,40,2.23,0.977,0.776
XM_009294025.2,1377,0.557,39,2.188,0.977,0.773
XM_009294023.2,1419,0.557,40,2.204,0.977,0.757
XM_009294024.2,1401,0.555,40,2.222,0.977,0.79
XM_009294022.2,1443,0.556,41,2.237,0.978,0.773
XM_009294026.2,1317,0.554,38,2.267,0.988,0.75
XM_021467983.1,1344,0.551,39,2.275,0.988,0.747
NM_131275.1,1317,0.554,37,2.211,0.986,0.696
NM_001423448.1,1419,0.557,40,2.204,0.977,0.757
NM_001177343.2,1599,0.478,47,2.259,0.976,0.814
NM_001042778.2,1512,0.446,41,2.122,0.976,0.934
XM_021466612.1,2397,0.457,58,1.919,0.965,0.759
NM_131028.2,2364,0.456,58,1.922,0.965,0.751
NM_001430948.1,2397,0.457,58,1.919,0.965,0.759
NM_200323.2,864,0.475,20,1.852,0.981,0.65
NM_199773.1,1014,0.485,22,1.736,0.939,0.717
NM_001362360.1,1932,0.546,53,2.17,0.996,0.69
NM_001017744.1,510,0.502,11,1.725,0.973,0.577
NM_001082876.1,900,0.424,26,2.217,0.967,0.871
NM_001002468.2,594,0.524,14,1.886,0.896,0.899
NM_001040244.1,855,0.506,19,1.778,0.973,0.692
XM_009299518.3,1107,0.476,27,1.949,0.988,0.648
XM_009299519.3,1107,0.476,27,1.949,0.988,0.648
XM_017353437.2,1107,0.476,27,1.949,0.988,0.648
NM_199809.1,1107,0.475,27,1.951,0.989,0.646
XM_021468354.1,2676,0.534,57,1.689,0.864,0.908
XM_009294633.3,2679,0.534,56,1.66,0.854,0.907
NM_130957.2,2679,0.534,56,1.66,0.854,0.907
XM_005166774.3,1527,0.502,44,2.24,0.984,0.758
NM_201471.1,1527,0.502,44,2.238,0.984,0.754
XM_001919922.6,2706,0.458,63,1.86,0.982,0.633
XM_005157720.3,2010,0.455,46,1.819,0.99,0.606
XM_005157719.4,2031,0.463,47,1.851,0.981,0.64
XM_021477471.1,1875,0.517,46,1.941,0.951,0.83
NM_001004581.1,1833,0.517,44,1.908,0.949,0.797
NM_001326394.1,810,0.558,20,1.958,0.978,0.652
XM_021481444.1,786,0.556,19,1.934,0.972,0.627
XM_009291418.3,519,0.539,12,1.823,0.963,0.742
NM_201342.1,1425,0.484,34,1.909,0.949,0.749
NM_152953.2,1530,0.486,34,1.771,0.978,0.717
NM_001035265.1,1653,0.619,35,1.694,0.966,0.66
NM_212676.1,660,0.435,19,2.226,0.983,0.861
XM_005157854.4,2142,0.539,54,1.98,0.979,0.815
XM_005157853.4,2241,0.545,57,2,0.98,0.791
XM_005157852.4,2244,0.545,58,2.029,0.98,0.83
NM_001007789.2,1512,0.521,37,1.911,0.985,0.796
NM_001045271.1,1323,0.522,30,1.788,0.989,0.672
NM_001011712.1,1215,0.517,27,1.756,0.988,0.69
NM_001430813.1,2142,0.539,54,1.98,0.979,0.815
NM_205651.1,1461,0.604,31,1.697,0.969,0.673
NM_001113588.1,1224,0.527,24,1.569,0.928,0.765
NM_001045188.2,2106,0.522,53,2.013,0.988,0.652
NM_001130623.2,1524,0.467,36,1.886,0.937,0.801
XM_009292538.3,1569,0.532,38,1.926,0.992,0.563
NM_001110468.1,1281,0.539,30,1.86,0.98,0.59
XM_021475835.1,450,0.469,9,1.6,0.916,0.766
NM_001290146.1,450,0.469,9,1.6,0.916,0.766
NM_001037123.3,450,0.469,9,1.6,0.916,0.766
XM_001340304.6,1683,0.462,44,2.078,0.989,0.671
XM_017352087.2,1650,0.527,37,1.794,0.965,0.714
NM_001353348.1,1650,0.527,37,1.794,0.965,0.714
NM_001008615.2,600,0.533,13,1.733,0.893,0.797
NM_001311791.1,1518,0.608,33,1.739,0.946,0.772
XM_009304859.2,945,0.465,30,2.432,0.976,0.857
NM_001328513.1,1569,0.465,52,2.562,0.976,0.858
XM_685413.8,2481,0.481,56,1.806,0.966,0.709
XM_680223.9,2286,0.517,52,1.82,0.975,0.697
XM_021478637.1,4254,0.542,106,1.986,0.984,0.683
XM_021478636.1,4257,0.542,105,1.965,0.982,0.696
NM_182857.2,4200,0.544,102,1.943,0.982,0.681
XM_009298837.3,4200,0.544,102,1.943,0.982,0.681
XM_001341859.7,4557,0.492,112,1.957,0.989,0.645
NM_001002374.2,1578,0.529,39,1.977,0.99,0.632
XM_005166286.4,981,0.469,26,2.091,1,0.576
NM_001017640.1,975,0.473,26,2.097,0.998,0.574
XM_005166285.3,1056,0.467,27,2.04,0.981,0.635
XM_005166289.4,981,0.469,26,2.091,1,0.576
XM_005166287.3,981,0.469,26,2.091,1,0.576
NM_001003476.2,450,0.484,12,2.133,0.924,0.894
NM_001001946.4,1134,0.486,30,2.08,0.978,0.767
NM_001172768.2,1602,0.469,43,2.107,0.98,0.746
NM_200246.1,924,0.49,19,1.645,0.918,0.797
XM_021480337.1,1521,0.501,37,1.946,0.981,0.707
XM_688794.8,1521,0.501,37,1.946,0.981,0.707
XM_005161183.4,1503,0.528,35,1.831,0.947,0.711
XM_005161184.4,1488,0.532,34,1.815,0.947,0.68
NM_001161551.1,1377,0.532,33,1.917,0.98,0.582
NM_001020711.3,2241,0.507,55,1.963,0.985,0.635
NM_001001730.2,1500,0.555,32,1.707,0.925,0.751
NM_213150.1,1689,0.484,42,1.989,0.966,0.683
XM_009297119.3,1494,0.487,34,1.821,0.975,0.698
XM_021470048.1,1494,0.487,34,1.821,0.975,0.698
NM_001045073.1,2205,0.507,50,1.752,0.927,0.854
NM_001007038.1,3984,0.503,101,2.028,0.995,0.625
NM_001045302.2,411,0.47,10,1.946,0.932,0.934
XM_009304246.3,1044,0.413,35,2.582,0.981,0.984
XM_009304247.3,687,0.403,22,2.46,0.971,1.061
NM_001423667.1,1044,0.413,35,2.582,0.981,0.984
NM_001020684.1,801,0.522,19,1.898,0.984,0.651
NM_001020610.2,1572,0.492,37,1.868,0.947,0.751
XM_021477435.1,780,0.458,24,2.426,0.985,0.863
XM_009303366.2,936,0.47,28,2.347,0.987,0.864
XM_009303365.3,936,0.47,28,2.347,0.987,0.864
NM_200305.1,714,0.451,22,2.402,0.952,0.924
NM_001327762.1,729,0.457,18,1.975,0.949,0.737
NM_001005957.1,465,0.488,9,1.548,0.938,0.726
XM_005170332.4,984,0.539,25,2.013,0.978,0.681
XM_021468778.1,1590,0.541,41,2.021,0.986,0.668
NM_200849.1,1662,0.538,41,1.966,0.989,0.655
NM_001002206.1,843,0.496,18,1.708,0.925,0.841
NM_212673.1,1518,0.414,47,2.359,0.976,0.996
NM_001024406.1,489,0.53,11,1.8,0.941,0.849
NM_200754.2,231,0.489,5,1.732,0.896,0.952
NM_001205027.1,1035,0.499,23,1.778,0.974,0.629
NM_001037678.2,2034,0.448,48,1.888,0.985,0.648
XM_021468920.1,2034,0.448,48,1.888,0.985,0.648
XM_005173334.4,1722,0.49,39,1.812,0.977,0.652
NM_001008575.1,1722,0.49,39,1.812,0.977,0.652
XM_009301380.3,1506,0.507,34,1.806,0.977,0.691
NM_001007310.1,1539,0.472,34,1.767,0.982,0.606
NM_001109701.2,1506,0.469,38,1.956,0.951,0.812
XM_021467621.1,675,0.618,15,1.76,0.978,0.663
XM_005173617.4,1284,0.618,26,1.583,0.893,0.823
NM_200643.1,1038,0.613,22,1.696,0.94,0.76
XM_021467620.1,1284,0.618,26,1.583,0.893,0.823
XM_695291.6,582,0.5,13,1.787,0.979,0.514
XM_001342820.5,1008,0.541,20,1.587,0.929,0.705
XM_017351368.2,2106,0.601,46,1.744,0.971,0.685
XM_017351369.2,2106,0.601,46,1.744,0.971,0.685
XM_017351370.2,2106,0.601,46,1.744,0.971,0.685
XM_021466759.1,2103,0.601,46,1.746,0.971,0.683
NM_001080204.1,1557,0.617,32,1.638,0.942,0.733
XM_021466882.1,1569,0.48,34,1.734,0.959,0.771
XM_021474355.1,1569,0.48,34,1.734,0.959,0.771
NM_207077.2,1683,0.518,39,1.854,0.993,0.654
XM_001338327.4,600,0.493,12,1.6,0.94,0.683
XM_005173080.4,6849,0.49,175,2.032,0.993,0.693
NM_001114586.2,6816,0.49,174,2.027,0.993,0.689
XM_021480202.1,372,0.516,8,1.72,0.871,0.896
NM_001020501.1,561,0.481,12,1.711,0.948,0.703
NM_212811.1,1857,0.522,42,1.809,0.95,0.774
XM_021467705.1,1641,0.413,49,2.313,0.965,0.96
XM_021467707.1,1596,0.407,50,2.378,0.979,0.818
XM_021467704.1,1641,0.407,50,2.333,0.97,0.856
XM_021467706.1,1614,0.413,49,2.349,0.979,0.924
NM_001045386.1,1659,0.407,51,2.353,0.975,0.845
NM_001083123.1,2607,0.548,62,1.902,0.976,0.752
XM_005171775.3,1158,0.514,28,1.918,0.965,0.791
XM_021469846.1,1935,0.525,46,1.89,0.912,0.884
NM_001042775.1,1932,0.523,48,1.975,0.944,0.823
NM_001002433.1,759,0.474,16,1.686,0.958,0.731
NM_001100958.1,429,0.471,10,1.865,0.951,0.802
NM_001329912.1,1944,0.616,49,1.989,0.971,0.784
NM_199216.1,1377,0.473,33,1.889,0.958,0.755
XM_005157851.4,1530,0.473,37,1.929,0.967,0.754
XM_009294543.3,1434,0.432,41,2.195,0.969,0.936
NM_001020522.1,1506,0.43,46,2.345,0.97,1.042
NM_200761.1,348,0.506,6,1.379,0.885,0.682
NM_001002369.1,972,0.52,21,1.728,0.951,0.691
XM_021478863.1,2052,0.479,51,1.975,0.988,0.681
XM_005167518.4,1947,0.471,48,1.964,0.992,0.65
XM_021478864.1,1269,0.457,31,1.946,1,0.563
XM_021467134.1,1341,0.552,38,2.222,0.998,0.669
XM_021467132.1,1482,0.544,41,2.16,0.998,0.682
XM_021467133.1,1410,0.55,39,2.177,0.995,0.693
XM_021467130.1,1518,0.54,41,2.111,0.995,0.684
XM_009293126.3,1506,0.539,41,2.12,0.995,0.703
XM_021467129.1,1539,0.541,42,2.133,0.995,0.694
XM_021467131.1,1482,0.544,41,2.16,0.998,0.682
XM_005158771.4,1527,0.54,42,2.142,0.995,0.712
XM_021467135.1,1341,0.552,38,2.222,0.998,0.669
NM_212954.1,1308,0.547,37,2.203,0.995,0.692
NM_214686.1,891,0.484,19,1.706,0.987,0.553
XM_005166714.4,2301,0.528,55,1.912,0.982,0.665
NM_001111186.1,1923,0.51,46,1.914,0.981,0.695
NM_213301.2,1551,0.512,39,1.98,0.976,0.734
XM_021479799.1,4515,0.534,106,1.869,0.981,0.667
XM_687846.9,4494,0.535,104,1.851,0.98,0.66
XM_009303023.3,987,0.512,23,1.864,0.956,0.754
XM_009303024.3,987,0.512,23,1.864,0.956,0.754
NM_001123054.2,987,0.512,23,1.864,0.956,0.754
XM_005158728.4,822,0.47,19,1.849,0.949,0.817
NM_001007162.2,822,0.471,19,1.849,0.949,0.817
NM_001327788.1,498,0.456,10,1.606,0.924,0.71
NM_131584.1,3846,0.554,86,1.789,0.984,0.644
NM_001100957.2,651,0.553,13,1.598,0.909,0.779
NM_001308559.1,2154,0.495,52,1.931,0.984,0.638
XM_003199465.5,4047,0.481,96,1.898,0.992,0.609
NM_182941.1,900,0.419,22,1.864,0.976,0.794
XM_009305796.2,6987,0.491,162,1.852,0.981,0.665
XM_001920827.7,6963,0.491,161,1.85,0.981,0.668
XM_005169422.4,705,0.61,17,1.929,0.982,0.659
XM_009306341.3,516,0.626,13,1.959,0.983,0.638
NM_212941.1,516,0.626,13,1.959,0.983,0.638
NM_200584.1,729,0.438,15,1.646,0.944,0.741
NM_214716.1,2502,0.503,56,1.791,0.972,0.67
XM_005155592.4,1248,0.484,29,1.853,0.958,0.702
XM_005155591.4,1248,0.484,29,1.853,0.958,0.702
NM_199599.2,1248,0.482,29,1.857,0.962,0.694
NM_001045344.1,843,0.53,19,1.803,0.94,0.757
XM_005160855.3,1335,0.555,32,1.912,0.961,0.708
NM_001128678.1,1263,0.561,31,1.952,0.975,0.678
NM_200644.1,3078,0.478,68,1.767,1,0.664
XM_005167420.4,1293,0.504,33,2.039,0.962,0.801
NM_001098617.1,1293,0.504,33,2.031,0.959,0.806
XM_021478724.1,1254,0.506,33,2.081,0.97,0.773
NM_130919.1,1362,0.564,30,1.762,0.935,0.814
NM_001024816.2,2823,0.478,67,1.899,0.988,0.63
XM_017356903.2,534,0.521,11,1.644,0.955,0.727
NM_131585.1,534,0.53,11,1.639,0.948,0.736
NM_152954.1,1479,0.442,38,2.009,0.986,0.814
NM_001326699.1,1485,0.528,36,1.929,0.983,0.655
XM_005171766.4,1485,0.531,35,1.854,0.983,0.682
XM_021476336.1,1485,0.528,36,1.929,0.983,0.655
XM_021477163.1,2754,0.532,74,2.116,0.975,0.766
XM_021477160.1,2925,0.537,79,2.128,0.978,0.759
XM_009302472.3,2913,0.538,78,2.105,0.975,0.763
XM_021477162.1,2847,0.536,75,2.082,0.978,0.751
XM_021477161.1,2865,0.537,77,2.111,0.978,0.806
XM_021477159.1,2940,0.538,79,2.113,0.978,0.755
XM_021471780.1,2295,0.54,62,2.13,0.973,0.803
XM_021471782.1,2229,0.538,59,2.101,0.976,0.791
XM_021471781.1,2247,0.539,61,2.138,0.976,0.856
XM_021471779.1,2322,0.54,63,2.14,0.977,0.793
XM_021474098.1,2322,0.539,63,2.134,0.975,0.799
XM_021474099.1,2295,0.539,62,2.124,0.97,0.809
XM_021474102.1,2229,0.537,59,2.095,0.974,0.796
XM_021474101.1,2247,0.538,61,2.132,0.974,0.861
NM_001006040.1,486,0.484,8,1.317,0.881,0.699
NM_001089582.1,666,0.479,13,1.562,0.907,0.759
NM_001077602.1,1542,0.458,36,1.868,0.978,0.67
XM_009301100.3,1989,0.472,63,2.432,0.987,0.912
NM_001128273.3,1989,0.472,63,2.432,0.987,0.912
NM_001099452.1,453,0.519,9,1.589,0.962,0.579
NM_001123277.1,1542,0.475,39,2.023,0.992,0.567
NM_001083861.1,1683,0.48,36,1.711,0.95,0.743
NM_152950.2,522,0.521,10,1.533,0.912,0.708
XM_005172626.4,4161,0.505,99,1.889,0.958,0.83
XM_021479187.1,3993,0.503,98,1.946,0.959,0.817
XM_005172627.4,4161,0.505,101,1.926,0.961,0.805
XM_005172625.4,4164,0.505,100,1.907,0.96,0.815
NM_001030183.1,3690,0.503,88,1.898,0.957,0.83
NM_001320405.1,567,0.51,13,1.834,0.938,0.81
NM_205717.3,567,0.51,13,1.834,0.938,0.81
NM_199610.2,1515,0.478,34,1.795,0.961,0.732
XM_009298924.3,846,0.494,19,1.797,0.974,0.705
XM_009303354.3,4107,0.455,94,1.831,0.986,0.629
NM_001079947.1,900,0.426,27,2.313,0.959,0.981
XM_681540.8,17742,0.462,449,2.012,0.989,0.668
XM_005163424.4,951,0.49,21,1.767,0.979,0.632
XM_005163425.4,777,0.481,17,1.718,0.974,0.669
NM_001002353.1,951,0.49,21,1.767,0.979,0.632
XM_001337745.7,1491,0.44,49,2.514,0.969,0.99
NM_205641.1,501,0.575,9,1.437,0.95,0.588
XM_005172297.4,531,0.525,12,1.791,0.874,0.937
NM_001083839.2,849,0.508,21,1.961,0.921,0.846
XM_021477566.1,657,0.46,16,1.938,0.974,0.707
XM_001335943.7,1470,0.471,38,2.06,0.967,0.75
XM_005157541.4,1584,0.472,41,2.063,0.974,0.72
NM_001077453.1,1476,0.46,37,1.99,0.981,0.663
NM_212631.1,1692,0.505,39,1.844,0.988,0.637
NM_001020513.1,627,0.482,17,2.15,0.943,0.907
NM_001039066.1,1857,0.472,43,1.852,0.978,0.701
NM_201315.2,1842,0.486,41,1.781,0.986,0.655
XM_021467153.1,1578,0.496,41,2.054,0.981,0.776
NM_001008642.1,1674,0.498,44,2.08,0.981,0.78
XM_009306786.3,2418,0.517,64,2.101,0.996,0.71
XM_009306787.3,2412,0.518,62,2.045,0.99,0.75
NM_001083546.3,2349,0.518,62,2.095,0.996,0.735
NM_001328383.1,2313,0.546,54,1.868,0.987,0.601
NM_131467.1,1584,0.561,32,1.616,0.934,0.717
NM_131328.1,2181,0.484,57,2.053,0.959,0.908
XM_021469749.1,1341,0.477,30,1.763,0.955,0.714
XM_021469746.1,1323,0.475,30,1.8,0.982,0.663
XM_021469747.1,1308,0.476,30,1.81,0.982,0.705
XM_009296811.3,1284,0.475,30,1.829,0.984,0.697
XM_021469748.1,1413,0.477,33,1.841,0.986,0.674
NM_194368.1,1365,0.48,33,1.867,0.985,0.711
NM_213394.1,672,0.503,19,2.189,0.948,1.013
XM_017358729.1,672,0.506,17,1.967,0.946,0.85
NM_200222.1,633,0.512,16,2.022,0.935,0.806
NM_001113626.1,1584,0.462,38,1.892,0.971,0.754
NM_001177335.2,1584,0.466,38,1.89,0.971,0.745
NM_180966.2,1662,0.528,42,2.022,0.998,0.661
NM_198210.2,2382,0.481,49,1.646,0.942,0.718
NM_001013540.1,930,0.535,20,1.72,0.985,0.586
NM_001109722.1,1500,0.464,41,2.08,0.942,0.981
XM_005158344.4,690,0.472,18,2.045,0.974,0.78
NM_001002560.1,690,0.471,18,2.041,0.972,0.785
XM_005158346.4,495,0.442,13,2.026,0.901,0.977
NM_001079851.1,1500,0.453,47,2.343,0.975,1.131
NM_001020531.1,528,0.502,14,2.025,0.922,1.059
NM_001030189.2,1395,0.469,37,2.122,0.98,0.72
XM_017359216.2,1467,0.466,36,1.943,0.984,0.593
NM_212649.1,1467,0.466,36,1.943,0.984,0.594
XM_009291620.3,1467,0.466,36,1.943,0.984,0.593
NM_001045076.1,1515,0.521,33,1.743,0.911,0.809
NM_212677.1,714,0.48,15,1.681,0.952,0.625
XM_021467931.1,4761,0.539,114,1.901,0.971,0.725
XM_021467929.1,4794,0.538,115,1.899,0.971,0.726
XM_021467930.1,4782,0.539,117,1.938,0.971,0.733
XM_021467928.1,4794,0.539,116,1.921,0.971,0.737
XM_021467927.1,4824,0.538,117,1.92,0.972,0.735
XM_021467932.1,2397,0.541,52,1.733,0.963,0.675
XM_021474709.1,1512,0.41,47,2.394,0.978,0.908
XM_017354812.1,807,0.415,26,2.466,0.986,0.886
NM_001017648.1,1131,0.509,27,1.91,0.951,0.7
XM_009295248.3,510,0.506,14,2.196,0.965,0.868
NM_001198749.1,516,0.502,14,2.171,0.953,0.895
XM_009295247.3,516,0.504,14,2.171,0.953,0.895
XM_005172511.4,1758,0.532,44,1.999,0.972,0.689
NM_182889.1,1761,0.533,42,1.903,0.948,0.753
NM_199857.1,2523,0.484,54,1.712,0.931,0.771
XM_009304472.3,918,0.514,20,1.741,0.959,0.702
NM_001079993.1,1170,0.506,26,1.76,0.913,0.837
NM_001003783.2,975,0.494,19,1.559,0.956,0.689
NM_001351708.1,2829,0.506,65,1.838,0.99,0.625
XM_682404.6,1548,0.457,37,1.912,0.984,0.684
NM_001005963.2,1509,0.457,35,1.836,0.983,0.69
NM_001177345.2,1584,0.448,38,1.872,0.979,0.75
NM_131734.3,627,0.488,17,2.128,0.931,0.95
NM_131411.2,630,0.556,13,1.651,0.965,0.621
NM_131578.2,1896,0.51,45,1.899,0.987,0.618
XM_021476561.1,990,0.474,20,1.616,0.931,0.729
XM_689815.6,990,0.474,20,1.616,0.931,0.729
NM_001386628.1,990,0.474,20,1.616,0.931,0.729
NM_001128690.1,1959,0.488,45,1.838,0.996,0.634
NM_001002215.2,459,0.521,11,1.876,0.898,1.16
NM_001040313.1,525,0.556,9,1.371,0.846,0.747
XM_009307205.3,1332,0.465,31,1.862,0.964,0.734
XM_021468378.1,1491,0.435,48,2.44,0.984,1.024
NM_200620.1,1491,0.438,46,2.372,0.971,0.994
XM_005160813.4,600,0.497,14,1.828,0.918,0.952
NM_199623.1,600,0.498,14,1.833,0.92,0.948
XM_005160814.4,579,0.475,13,1.75,0.917,0.922
XM_009294887.3,510,0.494,12,1.786,0.914,0.909
XM_005160815.4,579,0.475,13,1.75,0.917,0.922
XM_005170565.4,6816,0.5,171,2.002,0.929,0.846
XM_005170566.4,6774,0.5,170,2.004,0.929,0.846
XM_001918962.7,6810,0.5,170,1.993,0.929,0.85
XM_017353668.2,1386,0.457,40,2.201,0.963,0.918
XM_021479750.1,4647,0.5,110,1.889,0.988,0.59
XM_021479751.1,2334,0.496,56,1.909,0.994,0.596
XM_005155760.4,4647,0.5,110,1.889,0.988,0.59
XM_009305874.3,2334,0.496,56,1.909,0.994,0.596
XM_021474228.1,4647,0.5,110,1.889,0.988,0.59
XM_021474229.1,2334,0.496,56,1.909,0.994,0.596
NM_131154.3,1554,0.501,38,1.956,0.978,0.656
NM_212583.2,909,0.523,18,1.584,0.911,0.795
NM_001110454.1,2022,0.499,48,1.899,0.981,0.679
XM_017354804.2,4509,0.461,120,2.111,0.993,0.672
XM_021474684.1,2490,0.467,68,2.129,0.985,0.725
XM_003198146.5,4509,0.461,120,2.111,0.993,0.673
NM_001002464.1,609,0.519,13,1.708,0.926,0.794
XM_001334054.3,1512,0.45,40,2.018,0.981,0.859
XM_009301955.3,1485,0.547,39,2.088,0.978,0.673
NM_131153.1,1140,0.523,30,2.097,0.982,0.721
NM_001017606.1,969,0.482,23,1.899,0.996,0.685
NM_200336.1,477,0.595,9,1.509,0.922,0.687
NM_001111212.1,1935,0.471,46,1.902,0.992,0.59
NM_001037428.2,1578,0.454,37,1.832,0.979,0.687
XM_005158564.4,639,0.488,10,1.247,0.761,0.887
XM_005158565.4,639,0.488,10,1.247,0.761,0.887
NM_200400.1,636,0.489,11,1.381,0.855,0.805
XM_009300609.3,1299,0.425,29,1.777,0.976,0.67
NM_001009890.2,1515,0.421,34,1.795,0.974,0.672
XM_005163733.4,1512,0.448,42,2.134,0.948,1.069
NM_200512.1,1368,0.439,39,2.175,0.956,0.998
XM_005160347.4,1506,0.436,48,2.429,0.989,0.853
NM_200479.2,1335,0.443,42,2.383,0.983,0.842
NM_001177341.1,1584,0.451,42,2.085,0.984,0.84
NM_001365233.1,1584,0.449,47,2.308,0.983,0.815
NM_001177499.2,1596,0.427,46,2.234,0.972,0.935
NM_001199376.1,1605,0.473,36,1.794,0.94,0.789
